"Autor","Titulo","Cantidad","No. Dewey","Fecha","ISBN","tema","Info de publicación","Notas"
"Baughman, Ray","Vida abundante, La: The Abundant Life","1","220.61 Bau","1981",825410568,"estudio biblico, vida abundante","Editorial Portavoz (1981), Paperback, 192 pages","4 obras"
"Baughman, Ray","Vida abundante, La: The Abundant Life",1,"291 Bau",1981,825410568,"vida cristiana","Editorial Portavoz (1981), Paperback, 192 pages","4 obras"
"Bayly, Joseph","Los Horóscopos y Su Futuro","1","293 Bay",,,"Sectas","Logoi",
"Beauchamp, H.","Las Funciones de la Enseñanza y la Predicación de la Iglesia","1","268.4 Beu",,,"Enseñanza","Casa Bautista de Publicaciones",
"Beckwith, Jorge D.","El Plan Profético de Dios: A través de las Edades","2","237 Bec",,,"Dispensaciones","Ediciones de las Américas",
"Beers, Lowell","Amando a Otros/Series para Discípulos en Prisión","1","248.7 Bee",,,"Discipulado","Prison Fellowship Ministries",
"Belser, Helmut","El niño es distraído","1","268.4 Bel",,,"Pedagogía","Ediciones Paulina",
"Bender, Urie A.","Todos Somos Testigos","1","248.5 Ben",,,"Evangelismo","Editorial La Aurora",
"Benedet, Samuel D.","La Doctrina Católica y la Biblia","1","282 Ben",,,"Catolicismo","Casa Unidad de Publicaciones",
"Benge, Janet","La Intrépida rescatadora.","1","298   Ben",,,"Biografía","JUCUM",
"Benge, Janet","Padre de Huerfanos; La vida de George Muller (Heroes Cristianos de Ayer de Hoy)",1,"298 Ben",2007,"[1576583163]","biografia","YWAM Publishing (2007), Paperback, 194 pages",
"Benson, C. H.","El Arte de Enseñar","4","268.4 Ben",,,"Enseñanza","Editorial Caribe",
"Benson, C. H.","Guía para el Estudio de la Biblia, Ley e Historia del Antiguo Testamento. Libro 1","1","221 Ben Vol. 1",,,"Estudio sobre el Antiguo Testamento","Editorial Caribe",
"Benson, C. H.","La Escuela Dominical en Acción","2","268.43 Ben   ",,,"Escuela Dominical","Editorial Caribe",
"Benson, C. H.","La Escuela Dominical en Acción            ( Guía del Instructor)","5","268.43 Ben   ",,,"Escuela Dominical","Editorial Caribe",
"Benson, C. H.","Poesía y Profecía del Antiguo Testamento","4","221 Ben",,,"Estudio del Antiguo Testamento","Editorial Caribe",
"Benware, Paul","Panorama del Antiguo Testamento: Survey of the Old Testament (Comentario bIblico P)","2","221 Ben","1994",825410606,"estudio biblico,antiguo testamento","Editorial Portavoz (1994), Paperback, 280 pages",
"Benware, Paul","Panorama del Nuevo Testamento: Survey of the New Testament (Everyman's Bible Commentary)","3","225 Ben","1993",825410614,"comentario biblico,nuevo testamento","Editorial Portavoz (1993), Paperback, 304 pages",
"Berg, James A.","Fundamentos Básicos para el Creyente","2","248.7 Ber",,,"Discipulado","Bob Jones University Press",
"Berkhof, L.","Introduccion a la Teología Sistemática","1","230 Ber","1977",939125021,"teologia biblica","T.E.L.L. (1977), Hardcover",
"Berkhof, Luis","Principios de Interpretación Bíblica","2","220.6 Ber",,,"Hermenéutica","Clie",
"Bible, Watch Tower","Lo Que Los Jovenes Preguntan ; Respuestas Practicas","1","291 Hen","1989","[]","testigos de Jehova,sectas","Watch Tower Bible (1989), Paperback",
"Bisagno, Juan","El Poder de la Oración Tenaz","1","264.1 Bis",,,"Oración","Casa Bautista de Publicaciones",
"Blackaller, Luis Ramirez Ciro","Sintesis De Historia Universal","1","900 Gon Vol I","1960","[]","historia","HERRERO (1960), Hardcover, 308 pages",
"Blackstone, W. E.","Jesús Viene","1","236.5 Bla",,,"Segunda Venida de Cristo","Editorial Vida",
"Blackwood, A. W.","La Preparacion de Sermones Biblicos",1,"251 Bla",1985,311420303,"homiletica","Casa Bautista de Publicaciones (1985), Paperback, 255 pages",
"Blackwood, Andrew W.","Tu Puedes Recobrar el Gozo","1","269.1 Bla",,,"Gozo","Subcomisión Literatura Cristiana",
"Blanchard, John","Ultimas Preguntas","1","243 Bla","2000",8486589282,"evangelismo","Editorial Peregrino, S.L. (2000), Paperback","donado por Tap Y Katie Hornor, 2008"
"Blattner, E. F.","Bosquejos Escogidos","1","252.1 Bat",,,"Sermones","Editorial Vida","donado por Tap Y Katie Hornor, 2008"
"Boards, Joseph M.","Inglés práctico","1","301 Boa","1960","[]","texto,ingles","Barcelona : Bruguera, cop. 1960",
"Bonhoeffer, Dietrich","He Amado a este Pueblo","1","298.43 Bon",,,"Biografía","Editorial La Aurora",
"Bonnet, Luis","Comentario del Nuevo Testamento, Tomo I","1","225  Bon  Vol.1",,,"Comentario del Nuevo Testamento","Casa Bautista de Publicaciones",
"Bonnet, Luis","Comentario del Nuevo Testamento, Tomo II","1","225  Bon  Vol.2",,,"Comentario del Nuevo Testamento","Casa Bautista de Publicaciones",
"Bonnet, Luis","Comentario del Nuevo Testamento, Tomo III","3","225 Bon  Vol.3",,,"Comentario del Nuevo Testamento","Casa Bautista de Publicaciones",
"Bonnet, Luis","Comentario del Nuevo Testamento, Tomo IV","1","225 Bon   Vol.4",,,"Comentario del Nuevo Testamento","Casa Bautista de Publicaciones",
"Boom, Corrie Ten","Refugio Secreto, El","1","298.43 Ten","1999","[0829719733]","biografia","Vida Publishers (1999), Edition: Spanish, Hardcover, 250 pages",
"Boone, Pat","Una Canción Nueva","1","298.73 Boo",,,"Biografía","Editorial Vida",
"Booth, C. O.","Teología Sencilla para Gente Sencilla","1","230 Boo",,,"Teología","Casa Bautista de Publicaciones",
"Bounds, E. M. \","La Oración Fuente de Poder","2","264.1 Bou",,,"Oración y Predicación","Ediciones Evangélicas Europeas",
"Bounds, Edward M.","El Poder A Traves de la Oracion (Power Through Prayer) (Spanish Edition)",1,"248 Bou",2007,"[9875571237]","oración","Peniel (2007), Paperback, 96 pages",
"Boyer, Orlando","Biografías de Grandes Cristianos, Tomo I","1","298.2 Boy Vol I",,"[]","biografía","Vida",
"Boyer, Orlando","Biografías de Grandes Cristianos, Tomo II","1","298.2 Boy Vol. II",,"[]","biografía","Vida",
"Braga, James","CÃ³mo Estudiar la Biblia","3","220.61 Bra","1989",829713689,"estudio bíblico","Vida (1989), Edition: Spanish, Paperback, 164 pages",
"Braga, James","Cómo preparar mensajes bíblicos: How to Prepare Bible Messages",3,"248 Bra",1986,"082541072X","homotética","Editorial Portavoz (1986), Paperback, 320 pages","uno donado por la IB Fund de la Fe, Oct '08"
"Brandt, Henry","Cómo Disfrutar los Hijos","1","265.9 Bra",,,"Crianza de Niños","CLIE",
"Breese, David","Cómo Distinguir y Refutar las Sectas","2","290    Bre",,,"Sectas","Clie",
"Brewer, Bartholomew F.","Peregrinaje desde Roma","2","298.1 Bre","1986","[0890843287]","catolicismo,biografia","Greenville, S.C., Estados Unidos de NorteamÃ©rica : Unusual Publications, c1986.",
"Bridges, Julian","Guía de Estudios sobre: Bases Bíblicas de la Ética","1","261.9 Bri",,,"Ética","Casa Bautista de Publicaciones",
"Broadus, Juan A.","Comentario Expositivo sobre el Nuevo Testamento/Marcos y Lucas, Tomo II","1","226.3 Bro  Vol.2",,,"Marcos-Lucas","Casa Bautista de Publicaciones",
"Broadus, Juan A.","Comentario Expositivo sobre el Nuevo Testamento/Mateo, Tomo I","1","226.2 Bro   Vol.1",,,"Mateo","Casa Bautista de Publicaciones",
"Broadus, Juan A.","Tratado Sobre la Predicacion","3","251 Bro","2003",311420346,"homiletica","Casa Bautista de Publicaciones (2003), Paperback, 336 pages",
"Brown, H. C.","Sus Sermones: Como Prepararlos y Predicarlos","1","251  Bro",,,"Homilética","Casa Bautista de Publicaciones",
"Brown, Jamieson-Fausett","Comentario Exegético y Explicativo de La Biblia, Nuevo Testamento",1,"220.7 Bro v.II",2003,"[0311030041]","comentario,Biblia,Nuevo Testamento","Casa Bautista de Publicaciones (2003), Hardcover, 832 pages",
"Brown, Jamieson-Fausett","Comentario Exegético y Explicativo de La Biblia: Antiguo Testamento",1,"220.7 Bro v. I",2003,"[0311030025]","comentario, Biblia, Antiguo Testamento","Casa Bautista de Publicaciones (2003), Hardcover, 984 pages",
"Bruce, F. F.","Epistola a los Hebreos",1,"227.87 Bru",2000,1558834060,"hebreos","Libros Desafio (2000), Paperback",
"Bullfinger, E.W. / Lacueva, F.","Diccionario de Figuras de Diccion usadas en la Biblia","1","220.3 Bul",,,"Referencia","Clie",
"Bunyan, John","El Progreso del Peregrino",4,"828.407 Bun",1981,8486589983,"ficcion,alegoria,","Editorial Portavoz, Kregel Publications (1981), Edition: Spanish language, Paperback, 256 pages",
"Bunyan, John","El Progreso del Peregrino (Ilustrado)",2,"828.407 Bun",1981,8486589983,"ficcion,alegoria,","Editorial Portavoz, Kregel Publications (1981), Edition: Spanish language, Paperback, 256 pages",
"Burkett, Larry","Cómo manejar su dinero: How to Manage Your Money",1,"332 Bur",1993,825410975,"dinero,diezmo,negocio,mayordomia,","Editorial Portavoz (1993), Paperback, 128 pages",
"Burkett, Larry","Usando Su Dinero Sabiamente","1","248.6 Bur","1996",,"dinero,diezmo,negocio,mayordomia",,
"Burnham, Gracia","En Presencia De Mis Enemigos/ In The Presence of my Enemies (Spanish Edition)",2,"355 Bur",2004,"[0789911442]","Biografía","Editorial Unilit (2004), Paperback, 347 pages",
"Burt, David F.","Aspectos de Nuestra Guerra Espiritual",1,"248   Bur",,,"Serie de conferencias","Publicaciones Andamios",
"Burt, David F.","Comentario ampliado del Nuevo Testamento/Hebreo  Vol.129","2","227.87 Bur",,,"Hebreos","Clie",
"Burt, David F.","Comentario ampliado del Nuevo Testamento/Hebreo  Vol.130",2,"227.87 Bur",,,"Hebreos","Clie",
"Burt, David F.","Comentario ampliado del Nuevo Testamento/Hebreo  Vol.135",2,"227.87 Bur",,,"Hebreos","Clie",
"Burt, David F.","Comentario ampliado del Nuevo Testamento/Hebreo  Vol.136","1","227.87 Bur",,,"Hebreos","Clie",
"Burt, David F.","Comentario ampliado del Nuevo Testamento/Mateo Vol.1",5,"226.2 Bur",,,"Mateo","Clie",
"Burt, David F.","Estrecha es la Puerta",1,"226.2    Bur   Vol.5",,,"Comentario Expositivo de Mateo 7","Publicaciones Andamios",
"Burt, David F.","Primero Su Reino",1,"226.2    Bur   Vol.4",,,"Comentario expositivo del Mateo 6","Publicaciones Andamios",
"Burt, David F.","Seréis Perfectos",1,"226.2    Bur   Vol.3",,,"Comentario expositivo del Mateo 5","Publicaciones Andamios",
"Butera, Luis","3 Obsequios a mis Hermanos Protestantes","1","282 But",,,"Catolicismo","Servidores de la Palabra",
"Butt, John","The Oxford Spanish Dictionary and Grammar","2","463.21 Oxf","2001","[0198603886]","dictionario, referencia","Oxford University Press, USA (2001), Edition: 2, Paperback, 852 pages",
"Caballero","Nuevo Testamento","29","220.33 Nue",,,"nuevo testamento,biblia","Caballero",
"Cabrera, Victor Jesus","Las Manos al Arado/Manual Práctico para el Pastor de Hoy","1","253 Cab",,,"Officio Pastoral","Casa Bautista de Publicaciones",
"Cacho, Jose P.","Mecanografía","1","465.4 Cac",,,"Mecanografía","Ediciones ECA",
"Calder, Ritchie","Perfil de la Ciencia","1","500  Cal",,,"Historia de Diversas Ciencias","Editorial Sudamericana",
"Caldwell, Luis O.","Tu Puedes Enfrentar el Sufrimiento","1","269.1 Cal",,,"Sufrimiento","Subcomisión Literatura Cristiana",
"Calvina, Juan","Epistola a Los Hebreos","1","227.87 Cal",,1558830626,"hebreos","Evangelical Literature League, the, Paperback, 369 pages",
"Calvino, Juan","Comentario a las Epístolas Pastorales de San Pablo","1","227.833   Cal",,,"Epístolas Pastorales","Tell",
"Calvino, Juan","Epistola a los Romanos","1","227.1 Cal",,,"Romanos","Subcomisión Literatura Cristiana",
"Camp, Norman H.","Lo que Dice la Biblia","1","230 Cam",,,"Teología Sistemática","Editorial Moody",
"Campbell, Doak S.","El Maestro Eficiente","1","268.4 Cam",,,"Enseñanza","Casa Bautista de Publicaciones","donado por la IB Fund de la Fe, Oct 2008"
"Campderros, Daniel","Bosquejos Bíblicos, Tomo III","1","252.1 Cam Vol.3",,,"Sermones","Casa Bautista de Publicaciones",
"Campderros, Daniel","Bosquejos Bíblicos: Tomo 1: Antiguo Testamento","2","252.1 Cam Vol I","1966",311430252,"sermones, antiguo testamento, homiletica","Casa Bautista de Publicaciones (1966), Paperback, 96 pages","donado por la IB Fund de la Fe, Oct 2008"
"Campderros, Daniel","Bosquejos Bíblicos: Tomo II, N.T.","2","252.1 Cam Vol II","1966",311430260,"sermones, nuevo testamento, homiletica","Casa Bautista de Publicaciones (1966), Paperback, 96 pages",
"capuchino, P. Remigio De Papiol misionero","El Protestantismo Ante La Biblia (Cuarta Edicion)","1","280 Pap","1923","[]","denominaciones,","Eugenio Subirana, Barcelona (1923), Hardcover",
"Carballosa, Elvis L.","Deidad de Cristo, La: The Deity of Christ","1","200 Car","1982",825411025,"deidad de Crsito","Editorial Portavoz (1982), Paperback, 176 pages",
"Carballosa, Elvis L.","Filipenses: Un comentario exegetico y practico",1,"227.6 Car",1973,8472930173,"filipenses","Publicaciones Portavoz Evangelico (1973), Unknown Binding, 140 pages",
"Carballosa, Evis","Daniel y el reino mesianico: Daniel and the Messianic Kingdom","1","221 Car","1979",825411017,"daniel","Editorial Portavoz (1979), Paperback, 288 pages",
"Carder, Jaime. [from old catalog]","La naturaleza habla; Es cierta la evolución?",1,"213 Car",1973,,"creacion","(Barcelona) ClÃ­e. Literatura EvangÃ©lica, 1973]",
"Carey, S. Pearce","Guillermo Carey","1","298.54 Cay",,,"Biografía",,
"Carrillo, Salvador","El Bautismo en el Espíritu Santo","1","288   Car",,,"Carismáticos","Instituto de Sagrada Escritura",
"Carrol, B. H.","Comentario Bíblico, Tomo 10, Santiago, 1y2 Tesalonicenses, y 1y 2 Corintios","1","227   Car  Vol. 10",,,"Santiago, 1y2 Tesalonicenses, 1y2 Corintios","Clie",
"Carrol, B. H.","Comentario Bíblico, Tomo 11, Las Epístolas Pastorales","1","227   Car  Vol.11",,,"Epístolas Pastorales","Clie",
"Carrol, B. H.","Comentario Bíblico, Tomo 9, Colosenses, Efesios, Hebreos","1","227  Car   Vol. 9",,,"Colosenses, Efesios Hebreos","Clie",
"Carrol, B. H.","Sermones y Bosquejos de la Vida, Tomo I","1","252   Car   Vol.1",,,"Sermones","Casa Bautista de Publicaciones",
"Carrol, B. H.","Sermones y Bosquejos de la Vida, Tomo II","1","252   Car   Vol.2",,,"Sermones","Casa Bautista de Publicaciones",
"Carrol, B. H.","Una  Interpretación de la Biblia/Los Actos","2","226.6 Car",,,"Hechos","Casa Bautista de Publicaciones",
"Carrol, B. H.","Una  Interpretación de la Biblia/Los Cuatro Evangelios","1","226  Car",,,"Los Cuatro Evangelios","Casa Bautista de Publicaciones",
"Carrol, B. H.","Una Interpretación de la Biblia","1","224.51 Car",,,"Daniel y el Periodo Intertestamentario","Casa Bautista de Publicaciones",
"Carroll, J. M.","El Rastro de la Sangre","1","286   Car",,,"Bautista","Editorial Challenge",
"Castex C., Bernardo","Estudiando la Biblia con los Origenes Hebreos y Griegos",2,"220.4 Cas",,,"Griego y Hebreo",,
"Castex C., Bernardo","Semones y Estudios","1","252   Cas",,,"Sermones","Editorial ""Seleciones Religiosas""","1"
"Cativiela, Laura","Máximo Fernandez","1","298.82 Cat",,,"Biografía","Junta Bautista de Publicaciones","4"
"Cave, J.","Ciencia Cristiana","1","290 Cav",,,"Sectas","La Unidad","2"
"Chafer, Lewis Sperry","Grandes temas biblicos: 52 doctrinas de la Biblia","2","242 Cha","1995",825411211,"teologia","Editorial Portavoz (1995), Paperback, 448 pages",
"Chafer, Lewis Sperry","Hombre espiritual, El: He That is Spiritual","2","234.81 Cha","1973","082541122X","espiritualidad,doctrina,","Editorial Portavoz (1973), Paperback, 176 pages",
"Chager, Lewis S.","El Evangelismo Verdadero","1","248.5 Cha",,,"Evangelismo","Spanish Publications",
"Chager, Lewis S.","Grandes  Temas Bíblicos, Tomo I","3","230 Cha","1967",,"Teología","Spanish Publications",
"Chager, Lewis S.","Salvación",2,"234 Cha",,,"Salvación","Spanish Publications",
"Chager, Lewis S.","Teología Sistemática, Tomo I","2","230 Cha","1974",,"Teología","Publicaciones Españolas",
"Chager, Lewis S.","Teología Sistemática, Tomo II","2","230 Cha","1974",,"Teología","Publicaciones Españolas",
"Chambers, J. Oswald","Obreros de Dios","1","248.5 Cha",,,"Evangelismo","Editorial Minerva",
"Chapman, Gary","Los 5 Lenguajes Del Amor De Los Ninos / The Five Languages Of Love For Children",1,"248 Cha",2000,789905086,"ninos,amor,relaciones,familia,padres","Spanish House (2000), Paperback",
"Chapman, Gary","Los Cinco Lenguajes de la Disculpa",1,"158.2 Cha",2006,"141431289X","disculpa,relaciones,familia,padres,esposo,esposa,","Tyndale Espanol (2006), Edition: Tra, Hardcover, 304 pages",
"Chapman, Gary","Los Cinco Lenguajes Del Amor: Como expresar devocion sincera a su conyuge (Five Love Languages, Spanish edition)","1","646.78  Cha","2002",1560636807,"amor,relaciones,familia,matrimonio,esposo,esposa,","Spanish House (2002), Edition: Paperback, Paperback, 188 pages",
"Chavez, F. Garcia","Sor Juana Ines De La Cruz - Vida y Obra","1","800 Cha","1995","[9681501896]","poesia,biografia","Editores Mexicanos Unidos (1995), Paperback",
"Chick, Jack T.","La Última Llamada",1,"255 Chi",1972,937958026,"avivamiento","Chick Pub (1972), Paperback, 64 pages",
"Christenson, Evelyn","Qué Sucede cunado las Mujeres Oran?","1","264.1 Chr",,,"Oración y Mujeres","CLIE",
"Christenson, Larry","El Orden De Dios Para LA Familia/Families Go Better With Love","2","265.8 Chr","1978",,"familia",,
"Christenson, Larry","La Familia Cristiana","1","265.8 Chr","1970",,"familia","Libreria Betania (1970), Paperback",
"Clarke, Adam","Comentario de la Santa Biblia Vol. 2","1","220.7 Cla   Vol. 2",,,"Comentario de la Biblia","Casa Nazarena de Publicaciones",
"Clarke, Adam","Comentario de la Santa Biblia Vol. I","1","220.7 Cla   Vol. 1",,,"Comentario de la Biblia","Casa Nazarena de Publicaciones",
"Clarke, LI.D., F.S.A. Adam","Comentario De La Santa Biblia: Tomo III. Nuevo Testamento",1,"220.7 Cla Vol III",1980,,"comentario bíblico,","Casa Nazarena De Publicaciones (1980), Hardcover",
"Clinard, Gordon","Grandes Hombres de la Biblia",2,"257   Cli",,,"Liderazgo Cristiano","Casa Bautista de Publicaciones","donado por la IB Fund de la Fe, Oct 2008"
"Cloud, Henry","Limites","1","248 Clo","2006","[0829750045]","vida cristiana, relaciones","Vida (2006), Paperback, 352 pages",
"Collard, Howard","Vocabulario Mayo","1","497.1 Col",,,"Vocabulario Mayo","Instituto Lingüístico de Verano",
"Collins, Gary R.","Manual de Psicología Cristiana","1","258  Col",,,"Apología","CLIE",
"Colson, Howard, P.","Gálatas: Libertad en Cristo",5,"227.4 Col",,,"Gálatas","Casa Bautista de Publicaciones",
"Conner, W. T.","Qué es un Santo?","1","234.8 Con",,,"Santidad","Editorial Verdad",
"Conner, W.T.","Doctrina Cristiana","1","230 Con","2003",311090125,"teologia","Casa Bautista de Publicaciones (2003), Paperback, 256 pages",
"Cook, Charles C.","La Verdad a Cerca de la Gracia Divina","1","234.1 Coo",,,"Gracia","La Casa Bíblica de los Ángeles",
"Cooper, David L.","El Dios de Israel","2","231 Coo",,,"Dios","Biblical Research Society",
